,,,,name_handle,,subscribers,1 post reach,citation index
#26,,drop,,#VALUE!,,Военный Осведомитель517 615 subscribersNews and media,subscribers,1 post reach
Военный Осведомитель517 615 subscribersNews and media,https://tgstat.ru/en/channel/@milinfolive/stat,https://tgstat.ru/en/channel/,milinfolive/stat,milinfolive,stat,517 615,227.2k,2 375.4
517 615,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,227.2k,2 375.4,#27
227.2k,,drop,,#VALUE!,,1 post reach,citation index,IZ.RU111 109 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 375.4,#27,111 109
2 375.4,,drop,,#VALUE!,,citation index,IZ.RU111 109 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#27,111 109,25.2k
#27,,drop,,#VALUE!,,IZ.RU111 109 subscribersNews and media,subscribers,1 post reach
IZ.RU111 109 subscribersNews and media,https://tgstat.ru/en/channel/@izvestia/stat,https://tgstat.ru/en/channel/,izvestia/stat,izvestia,stat,111 109,25.2k,2 350.6
111 109,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,25.2k,2 350.6,#28
25.2k,,drop,,#VALUE!,,1 post reach,citation index,Военный обозреватель219 052 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,2 350.6,#28,219 052
2 350.6,,drop,,#VALUE!,,citation index,Военный обозреватель219 052 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#28,219 052,65.2k
#28,,drop,,#VALUE!,,Военный обозреватель219 052 subscribersNews and media,subscribers,1 post reach
Военный обозреватель219 052 subscribersNews and media,https://tgstat.ru/en/channel/@new_militarycolumnist/stat,https://tgstat.ru/en/channel/,new_militarycolumnist/stat,new_militarycolumnist,stat,219 052,65.2k,2 250.4
219 052,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,65.2k,2 250.4,#29
65.2k,,drop,,#VALUE!,,1 post reach,citation index,Zvezdanews88 908 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 250.4,#29,88 908
2 250.4,,drop,,#VALUE!,,citation index,Zvezdanews88 908 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#29,88 908,23.7k
#29,,drop,,#VALUE!,,Zvezdanews88 908 subscribersNews and media,subscribers,1 post reach
Zvezdanews88 908 subscribersNews and media,https://tgstat.ru/en/channel/@zvezdanews/stat,https://tgstat.ru/en/channel/,zvezdanews/stat,zvezdanews,stat,88 908,23.7k,2 236.3
88 908,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,23.7k,2 236.3,#30
23.7k,,drop,,#VALUE!,,1 post reach,citation index,Повёрнутые на Z войне 🇷🇺607 924 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 236.3,#30,607 924
2 236.3,,drop,,#VALUE!,,citation index,Повёрнутые на Z войне 🇷🇺607 924 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#30,607 924,259.9k
#30,,drop,,#VALUE!,,Повёрнутые на Z войне 🇷🇺607 924 subscribersNews and media,subscribers,1 post reach
Повёрнутые на Z войне 🇷🇺607 924 subscribersNews and media,https://tgstat.ru/en/channel/@voenacher/stat,https://tgstat.ru/en/channel/,voenacher/stat,voenacher,stat,607 924,259.9k,2 225.5
607 924,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,259.9k,2 225.5,#31
259.9k,,drop,,#VALUE!,,1 post reach,citation index,"Осторожно, новости1 440 683 subscribersNews and media"
1 post reach,,drop,,#VALUE!,,2 225.5,#31,1 440 683
2 225.5,,drop,,#VALUE!,,citation index,"Осторожно, новости1 440 683 subscribersNews and media",subscribers
citation index,,drop,,#VALUE!,,#31,1 440 683,680.6k
#31,#ERROR!,drop,,#VALUE!,,"Осторожно, новости1 440 683 subscribersNews and media",subscribers,1 post reach
"Осторожно, новости1 440 683 subscribersNews and media",https://tgstat.ru/en/channel/@ostorozhno_novosti/stat,https://tgstat.ru/en/channel/,ostorozhno_novosti/stat,ostorozhno_novosti,stat,1 440 683,680.6k,2 135.4
1 440 683,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,680.6k,2 135.4,#32
680.6k,,drop,,#VALUE!,,1 post reach,citation index,Караульный Z171 037 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 135.4,#32,171 037
2 135.4,,drop,,#VALUE!,,citation index,Караульный Z171 037 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#32,171 037,18.4k
#32,#ERROR!,drop,,#VALUE!,,Караульный Z171 037 subscribersNews and media,subscribers,1 post reach
Караульный Z171 037 subscribersNews and media,https://tgstat.ru/en/channel/@karaulny/stat,https://tgstat.ru/en/channel/,karaulny/stat,karaulny,stat,171 037,18.4k,2 099.2
171 037,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,18.4k,2 099.2,#33
18.4k,,drop,,#VALUE!,,1 post reach,citation index,СИЛОВИКИ 🇷🇺360 361 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,2 099.2,#33,360 361
2 099.2,,drop,,#VALUE!,,citation index,СИЛОВИКИ 🇷🇺360 361 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#33,360 361,84.8k
#33,,drop,,#VALUE!,,СИЛОВИКИ 🇷🇺360 361 subscribersNews and media,subscribers,1 post reach
СИЛОВИКИ 🇷🇺360 361 subscribersNews and media,https://tgstat.ru/en/channel/@SIL0VIKI/stat,https://tgstat.ru/en/channel/,SIL0VIKI/stat,SIL0VIKI,stat,360 361,84.8k,2 060.1
360 361,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,84.8k,2 060.1,#34
84.8k,,drop,,#VALUE!,,1 post reach,citation index,Антиглянец229 436 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,2 060.1,#34,229 436
2 060.1,,drop,,#VALUE!,,citation index,Антиглянец229 436 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#34,229 436,92.7k
#34,#ERROR!,drop,,#VALUE!,,Антиглянец229 436 subscribersNews and media,subscribers,1 post reach
Антиглянец229 436 subscribersNews and media,https://tgstat.ru/en/channel/@sncmag/stat,https://tgstat.ru/en/channel/,sncmag/stat,sncmag,stat,229 436,92.7k,1 971.7
229 436,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,92.7k,1 971.7,#35
92.7k,,drop,,#VALUE!,,1 post reach,citation index,Телеканал Дождь479 688 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 971.7,#35,479 688
1 971.7,,drop,,#VALUE!,,citation index,Телеканал Дождь479 688 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#35,479 688,119.4k
#35,,drop,,#VALUE!,,Телеканал Дождь479 688 subscribersNews and media,subscribers,1 post reach
Телеканал Дождь479 688 subscribersNews and media,https://tgstat.ru/en/channel/@tvrain/stat,https://tgstat.ru/en/channel/,tvrain/stat,tvrain,stat,479 688,119.4k,1 926.9
479 688,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,119.4k,1 926.9,#36
119.4k,,drop,,#VALUE!,,1 post reach,citation index,BBC News | Русская служба397 628 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 926.9,#36,397 628
1 926.9,,drop,,#VALUE!,,citation index,BBC News | Русская служба397 628 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#36,397 628,114.6k
#36,#ERROR!,drop,,#VALUE!,,BBC News | Русская служба397 628 subscribersNews and media,subscribers,1 post reach
BBC News | Русская служба397 628 subscribersNews and media,https://tgstat.ru/en/channel/@bbcrussian/stat,https://tgstat.ru/en/channel/,bbcrussian/stat,bbcrussian,stat,397 628,114.6k,1 801.1
397 628,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,114.6k,1 801.1,#37
114.6k,,drop,,#VALUE!,,1 post reach,citation index,Daily Storm87 512 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 801.1,#37,87 512
