,id,date,from_id,to_id,fwd_from,message,type,duration
15,2293925,2022-11-18 14:05:31+00:00,PeerUser(user_id=792821709),PeerChannel(channel_id=1234644047),,Пёс на службе у Свиней ! Сочуствую собаке,text,
16,2293923,2022-11-18 14:05:27+00:00,PeerUser(user_id=1665188569),PeerChannel(channel_id=1234644047),,"Эта собака настолько распиарена, что по сравнению с ней всучник- мешок с требухой.",text,
17,2293918,2022-11-18 14:04:13+00:00,PeerUser(user_id=199695479),PeerChannel(channel_id=1234644047),,"а что это за ""патрон"". куда смотрит мовный патруль. помоему на украинском патрон должен не так называться.",text,
18,2293917,2022-11-18 14:03:56+00:00,PeerUser(user_id=304812525),PeerChannel(channel_id=1234644047),,У него есть шанс взорваться вместе с хозяином и стать героем,text,
19,2293916,2022-11-18 14:03:45+00:00,PeerUser(user_id=5057662343),PeerChannel(channel_id=1234644047),,Про собачьи ломки тоже бред? Сама наивность😂,text,
20,2293914,2022-11-18 14:03:00+00:00,PeerUser(user_id=5764392996),PeerChannel(channel_id=1234644047),,Боевой гном Росгвардии,text,
21,2293906,2022-11-18 14:01:13+00:00,PeerUser(user_id=208388354),PeerChannel(channel_id=1234644047),,Пивас,text,
22,2293905,2022-11-18 14:01:08+00:00,PeerUser(user_id=1513206659),PeerChannel(channel_id=1234644047),,"А если собаку на поиск людей или на спасение людей натаскивают,по твоему их человечиной кормят?",text,
23,2293904,2022-11-18 14:00:48+00:00,PeerUser(user_id=5433519090),PeerChannel(channel_id=1234644047),,Патрона поймали на ошибке,text,
24,2293902,2022-11-18 14:00:31+00:00,PeerUser(user_id=1464386004),PeerChannel(channel_id=1234644047),,"Этот пёсик к зеле во дворец же ходил.
Так и не поняла по видео, что там в пластикой бутылке взорвалось?",text,
25,2293900,2022-11-18 14:00:13+00:00,PeerUser(user_id=466132917),PeerChannel(channel_id=1234644047),,"Ну да, если в семье 4 человека, а то повесишься)",text,
26,2293899,2022-11-18 14:00:11+00:00,PeerUser(user_id=986068947),PeerChannel(channel_id=1234644047),,Спасите животину!,text,
27,2293898,2022-11-18 14:00:03+00:00,PeerUser(user_id=2141387170),PeerChannel(channel_id=1234644047),,Рассел фокс терьер,text,
28,2293896,2022-11-18 13:59:41+00:00,PeerUser(user_id=5057662343),PeerChannel(channel_id=1234644047),,А ты как думаешь? Талант?))),text,
29,2293894,2022-11-18 13:59:10+00:00,PeerUser(user_id=5304296972),PeerChannel(channel_id=1234644047),,Единственный нормальный хохол,text,
30,2293892,2022-11-18 13:59:07+00:00,PeerUser(user_id=1046252988),PeerChannel(channel_id=1234644047),,А в конце кто добавил?😂,text,
